,coefficient,std_error,p_value,ci_low,ci_high
Intercept,0.06418932307587022,0.02666086751614558,0.016056743729929504,0.01193498294763104,0.1164436632041094
C(market_id)[T.246667],-0.015788850935237235,0.0051170803776218726,0.0020319694670320626,-0.025818144181372724,-0.005759557689101745
C(market_id)[T.248444],0.018085465152582157,0.025286698223398595,0.4744752419179553,-0.03147555265321206,0.06764648295837637
C(market_id)[T.249164],0.016682153918136253,0.024888301937225504,0.5026787278114557,-0.03209802151518419,0.0654623293514567
C(market_id)[T.250482],0.043975554441526954,0.0632353154865538,0.4867876586122363,-0.07996338646314641,0.16791449534620032
C(market_id)[T.250822],0.007562740861254982,0.01757940959458942,0.6670468993660147,-0.026892268813618156,0.04201775053612812
C(market_id)[T.500358],-0.030757399860148457,0.004720370818732259,7.226166572081265e-11,-0.040009156658537534,-0.02150564306175938
C(market_id)[T.500444],0.013609303001725906,0.014039559039012208,0.3323685848714182,-0.013907727073561795,0.041126333077013605
C(market_id)[T.500502],0.005274803943476288,0.00462186839674606,0.2537572044238988,-0.003783891655429871,0.014333499542382448
C(market_id)[T.500504],0.012450908640690457,0.026721439954958286,0.6412498521090343,-0.03992215128607739,0.0648239685674583
C(market_id)[T.500511],-0.011300932550599692,0.011109785395606139,0.3090557767973303,-0.0330757118019568,0.010473846700757418
C(market_id)[T.500512],-0.0201854376509183,0.008464397077945525,0.01709091386681504,-0.036775351074537596,-0.0035955242272989983
C(market_id)[T.500514],0.007678258579641963,0.008923778721608846,0.3895538049611741,-0.00981202632071626,0.025168543480000187
C(market_id)[T.500515],0.008486990042010078,0.008396412451954178,0.3121180735165491,-0.007969675963163758,0.02494365604718391
C(market_id)[T.500543],0.01543525727929059,0.02693639205172443,0.5666269820832479,-0.03735910101554026,0.06822961557412144
C(market_id)[T.500614],-0.013512776225081236,0.010024165594724504,0.17765193334050366,-0.03315977976580679,0.006134227315644322
C(market_id)[T.500615],-0.004694240591847155,0.004132352988949532,0.25596794848750304,-0.012793503621594683,0.003405022437900373
C(market_id)[T.500630],0.0032140961752754995,0.003828605977886917,0.401191505935551,-0.004289833652377613,0.01071802600292861
C(market_id)[T.500635],0.021063639333906915,0.01532395866413528,0.16926913744696537,-0.008970767748378752,0.05109804641619258
C(market_id)[T.500636],0.024767590436792084,0.017716586774876204,0.16211642116141034,-0.009956281570943904,0.059491462444528076
C(market_id)[T.500637],-0.0003132607887960902,0.006249170522190002,0.960020084935298,-0.012561409945537857,0.011934888367945677
C(market_id)[T.500638],-4.7667181537401366e-05,0.003071935677841957,0.9876197336114348,-0.006068550472931275,0.005973216109856473
C(market_id)[T.500639],0.024521157593765053,0.017302996520226037,0.1564354264378137,-0.009392092410499861,0.05843440759802997
C(market_id)[T.500656],-0.0399783698889913,0.013164308843866237,0.0023904399216197712,-0.06577994110433125,-0.014176798673651354
C(market_id)[T.500716],-0.032696595597539124,0.0067372725405770864,1.2155198315210833e-06,-0.045901407131100885,-0.019491784063977363
C(market_id)[T.500761],-0.02000592984926256,0.004937795814992962,5.0870499737553686e-05,-0.029683831809661367,-0.010328027888863748
C(market_id)[T.500855],-0.01670349106959057,0.01400379701984915,0.2329543682550873,-0.044150428875304244,0.010743446736123104
C(market_id)[T.500943],0.9573599780220914,0.017824561092689324,0.0,0.9224244802401864,0.9922954758039964
C(market_id)[T.501029],-0.01986024549173382,0.006138866286346077,0.0012157244386543067,-0.03189220231887928,-0.007828288664588358
C(market_id)[T.501258],-0.029036299123371495,0.007211251880756095,5.660678475355642e-05,-0.04317009309310017,-0.01490250515364282
C(market_id)[T.501259],-0.010782015814621206,0.012772554468798384,0.39858279265360663,-0.03581576256404216,0.014251730934799749
C(market_id)[T.501262],0.006602857985805989,0.019140991589663887,0.7301251679289298,-0.03091279615831931,0.04411851212993129
C(market_id)[T.501305],-0.009367898426322841,0.005916282710903187,0.1133281522667209,-0.020963599462050085,0.002227802609404403
C(market_id)[T.501306],-0.021683937999743604,0.005060630646304193,1.8287962449073878e-05,-0.03160259180555948,-0.011765284193927729
C(market_id)[T.501432],-0.006645620325709072,0.0028034650209175565,0.017763932627924403,-0.012140310798625313,-0.0011509298527928322
C(market_id)[T.501433],-0.02940315980581991,0.0130680267371793,0.024448461267731224,-0.055016021559697814,-0.0037902980519420072
C(market_id)[T.501440],-0.013543164672479284,0.0035974364206079186,0.0001667684916260753,-0.02059401049354349,-0.006492318851415078
C(market_id)[T.501588],0.02212531115555694,0.011334402459230576,0.05093236463187618,-8.97094508172068e-05,0.044340331761931084
C(market_id)[T.501589],0.0015840448462749617,0.005941316906229759,0.789765522386678,-0.010060722310674303,0.013228812003224226
C(market_id)[T.501701],-0.011719183256747766,0.002140114027100312,4.351408756543354e-08,-0.015913729672673356,-0.007524636840822178
C(market_id)[T.501863],-0.03138272943663164,0.012717077143041454,0.01359603936037112,-0.05630774262561042,-0.006457716247652862
C(market_id)[T.501938],0.008206277137489703,0.010649452777064654,0.4409547049355118,-0.01266626676061708,0.02907882103559649
C(market_id)[T.501960],0.008706766571430569,0.016007785651066357,0.5865046161577296,-0.02266791677689655,0.040081449919757685
C(market_id)[T.501962],0.030204182234463316,0.035147742333412384,0.39014791932277637,-0.03868412687691876,0.0990924913458454
C(market_id)[T.501963],0.01158039210545596,0.021352611412042016,0.5875837618413254,-0.030269957238025343,0.05343074144893726
C(market_id)[T.502120],-0.019102212475806443,0.006778794375386841,0.004833335925020823,-0.032388405310167345,-0.005816019641445543
C(market_id)[T.502223],-0.005214158517554943,0.0026423848556233636,0.0484639577109022,-0.010393137667870807,-3.517936723908006e-05
C(market_id)[T.502295],-0.020805763358858042,0.003262042776269146,1.792523914793744e-10,-0.027199249716374618,-0.014412277001341466
C(market_id)[T.502388],0.005590978259476831,0.013103434303536173,0.6696121467355505,-0.020091281049240753,0.03127323756819442
C(market_id)[T.502571],0.03276724665973527,0.01345931420556761,0.014910707678999775,0.006387475560214427,0.05914701775925612
C(market_id)[T.502959],-0.008261159865259517,0.0062923390422157215,0.18921943535249974,-0.02059391776651759,0.004071598035998556
C(market_id)[T.503011],-0.005134783265171122,0.006618258471884611,0.4378368948015151,-0.018106331510442053,0.00783676498009981
C(market_id)[T.503013],0.014041215594869396,0.009261858935182355,0.12951286988283076,-0.004111694347978513,0.032194125537717305
C(market_id)[T.503045],0.013222425419583829,0.013224839653627793,0.31739886088607805,-0.012697784002843809,0.03914263484201147
C(market_id)[T.503131],-0.030743737440635938,0.018909956062696312,0.10399298627127843,-0.06780657027275555,0.006319095391483676
C(market_id)[T.503175],0.002612862697059406,0.002126413055528912,0.21915979380753303,-0.001554830308033032,0.006780555702151844
C(market_id)[T.503176],0.0057940944897899305,0.00525156834809839,0.2698936718274396,-0.0044987903348334204,0.01608697931441328
C(market_id)[T.503178],-0.017347139062532192,0.01092554429552189,0.1123406848633882,-0.03876081239325213,0.00406653426818775
C(market_id)[T.503185],0.018521356257537442,0.01339021035181986,0.16660315372745838,-0.007722973777444887,0.04476568629251977
C(market_id)[T.503188],-0.0010663847703705407,0.001896689490752403,0.5739560779066968,-0.004783827862100866,0.0026510583213597847
C(market_id)[T.503189],-0.004694314419884103,0.0014694839883218733,0.0014005749437050916,-0.007574450112853252,-0.001814178726914954
C(market_id)[T.503190],-0.002967094473069941,0.005554209830082647,0.5931987373597369,-0.013853145702610262,0.00791895675647038
C(market_id)[T.503191],0.9980116982800195,0.0048616385708442076,0.0,0.988483061775314,1.007540334784725
C(market_id)[T.503219],0.006833161191212191,0.013668450398250776,0.617129890919857,-0.019956509313831493,0.03362283169625587
C(market_id)[T.503228],-0.008510327270208274,0.009368486963142858,0.3636672801767187,-0.0268722243076013,0.00985156976718475
C(market_id)[T.503385],-0.004384514875967836,0.007175567211369025,0.5411771325387976,-0.018448368178897633,0.009679338426961961
C(market_id)[T.503507],-0.019150170469371328,0.0033699948825509788,1.3269970631954574e-08,-0.025755239067255534,-0.01254510187148712
C(market_id)[T.503535],-0.003025004955286681,0.0037603816386942482,0.42114236289275264,-0.010395217535253118,0.004345207624679756
C(market_id)[T.503656],0.0048318574286119464,0.006133831371596756,0.43084946097458965,-0.007190231146959616,0.01685394600418351
C(market_id)[T.503707],-0.005922429702469198,0.0022630611887781435,0.00887065053529816,-0.01035794812728476,-0.0014869112776536367
C(market_id)[T.503844],-0.021130880564942535,0.00683807595922467,0.002000357195152443,-0.03453326316857207,-0.007728497961312999
C(market_id)[T.503849],-0.00025759565344875886,0.007046545551019563,0.9708387854695105,-0.014068571148868052,0.013553379841970536
C(market_id)[T.503965],-0.013881146860089792,0.004123813409745226,0.0007624050276715554,-0.021963672622153752,-0.005798621098025831
C(market_id)[T.503970],0.0007253616928502545,0.005177740150659371,0.8885870389252742,-0.009422822523749107,0.010873545909449615
C(market_id)[T.503972],0.013116978490479016,0.010650772132148576,0.2181165238946029,-0.0077581512960750755,0.03399210827703311
C(market_id)[T.503985],-0.02294211024570465,0.005160023924943395,8.74331741488705e-06,-0.03305557129795871,-0.012828649193450585
C(market_id)[T.503989],0.0017351021233396166,0.0031725666869300262,0.5844419345969676,-0.0044830143215947955,0.007953218568274028
C(market_id)[T.504021],-0.011732301566868344,0.006930895452906434,0.0905022863526287,-0.02531660703517738,0.0018520039014406926
C(market_id)[T.504030],-0.0034243097453652916,0.005791855894223444,0.5543673902764054,-0.01477613870168927,0.007927519210958685
C(market_id)[T.504032],-0.025431900917078486,0.006910995455140129,0.00023330838952931445,-0.03897720310647314,-0.011886598727683835
C(market_id)[T.504033],-0.022593210353773596,0.017856475062202497,0.20577559738194584,-0.05759125836652811,0.01240483765898092
C(market_id)[T.504069],0.9881975345253768,0.012321954211184224,0.0,0.9640469480523041,1.0123481209984495
C(market_id)[T.504070],0.9817248099718945,0.013556349126543318,0.0,0.9551548539220186,1.0082947660217705
C(market_id)[T.504071],0.020854757185399843,0.010057979511264135,0.03813005401978477,0.0011414795860803621,0.04056803478471932
C(market_id)[T.504374],-0.036616527377652114,0.01726122346010017,0.03389513173053749,-0.07044790368854631,-0.002785151066757925
C(market_id)[T.504399],0.015040195828489289,0.01220782236281123,0.21794422874902786,-0.00888669633228339,0.03896708798926197
C(market_id)[T.504400],0.012633835696537005,0.013086931019325817,0.3343555011208279,-0.013016077769501654,0.03828374916257567
C(market_id)[T.504491],0.0040740701804837295,0.0036669811775187026,0.2665619998911597,-0.0031130808594392063,0.011261221220406665
C(market_id)[T.504492],0.003203006230881719,0.004464556528575317,0.4731088914825857,-0.00554736377206907,0.011953376233832509
C(market_id)[T.504493],0.013436715611357009,0.009011183761275424,0.13593117844986125,-0.004224880018815002,0.03109831124152902
C(market_id)[T.504584],0.028275094679941763,0.01778328616936379,0.11183899212296304,-0.006579505738780522,0.06312969509866405
C(market_id)[T.504585],0.0125162796071778,0.009014923815251229,0.1650166476203243,-0.005152646394087024,0.030185205608442622
C(market_id)[T.504586],0.005861498492789887,0.003944178392931502,0.13724898559519305,-0.0018689491059569272,0.0135919460915367
C(market_id)[T.504587],0.006078282133602736,0.004365793621598732,0.1638462931070198,-0.002478516128665469,0.01463508039587094
C(market_id)[T.504598],0.010994369485063816,0.011522094150890153,0.33998297485058393,-0.011588520077160498,0.03357725904728813
C(market_id)[T.504603],0.006766333630244183,0.009417792611698634,0.4724719783243053,-0.011692200702552554,0.02522486796304092
C(market_id)[T.504636],-0.04147330796375774,0.01942093294745804,0.03272058658032711,-0.07953763708694282,-0.00340897884057266
C(market_id)[T.504653],0.0280568009787349,0.016398833025881774,0.08709915180318488,-0.004084321140479373,0.06019792309794917
C(market_id)[T.504664],-0.011791291566816001,0.008072035495201635,0.1440818269069383,-0.027612190419340148,0.004029607285708144
C(market_id)[T.504666],0.028421878243282097,0.021023957432657368,0.17641354416153177,-0.012784321137229524,0.06962807762379372
C(market_id)[T.504675],-0.017626158785993454,0.005218537790138335,0.0007312005911922726,-0.027854304906625833,-0.007398012665361074
C(market_id)[T.504676],0.029428026090712187,0.020751405266029057,0.15615512461708936,-0.011243980859299587,0.07010003304072396
C(market_id)[T.504677],0.02470293309452292,0.015810844999454836,0.11819276164303824,-0.006285753669553768,0.055691619858599606
C(market_id)[T.504678],0.006950661190876336,0.008176091643271597,0.3952582262008092,-0.009074183964234903,0.022975506345987575
C(market_id)[T.504679],0.9934340659566147,0.007734943590802552,0.0,0.9782738550961927,1.0085942768170366
C(market_id)[T.504680],0.00614295634395261,0.009557533381737449,0.5203963972623169,-0.012589464865292097,0.02487537755319732
C(market_id)[T.504681],0.011429354677142987,0.01730867956750246,0.5090452590395907,-0.02249503389510615,0.04535374324939212
C(market_id)[T.504702],-0.010926761263368483,0.004137027070674597,0.008261026120671509,-0.01903518532495793,-0.0028183372017790333
C(market_id)[T.504703],-0.009971375064603582,0.0052077520747495646,0.055528515303095584,-0.020178381571526474,0.00023563144231930795
C(market_id)[T.504704],-0.0014172342313738054,0.005394667619872272,0.7927739512581609,-0.011990588474887874,0.009156120012140263
C(market_id)[T.504705],0.015910385288340476,0.018212475352622666,0.3823371186974308,-0.01978541047212337,0.05160618104880432
C(market_id)[T.504706],0.013698813529698744,0.00869183524224395,0.11501304531090036,-0.0033368705046553752,0.030734497564052863
C(market_id)[T.504760],-0.006218353522964246,0.005341023257066128,0.244317615792769,-0.016686566747404673,0.004249859701476181
C(market_id)[T.504830],0.0032355237275792257,0.005478956291871039,0.55483101591377,-0.007503033277357134,0.013974080732515586
C(market_id)[T.504878],0.023360388016212846,0.0159479915139583,0.1429794270159496,-0.007897100976895832,0.054617877009321525
C(market_id)[T.504897],-0.02118664706682838,0.01413227100731541,0.1338300799259953,-0.04888538926092617,0.006512095127269416
C(market_id)[T.504898],-0.02165303470890685,0.01042517980166145,0.03780212351763474,-0.04208601165251772,-0.001220057765295983
C(market_id)[T.505193],-0.05326344349899805,0.017291313504020415,0.0020675161075328573,-0.08715379521226915,-0.019373091785726958
C(market_id)[T.505199],-0.012285941285050747,0.0057447916172994815,0.03246624424661224,-0.02354552595364534,-0.0010263566164561543
C(market_id)[T.505253],-0.04759199416432088,0.01730463663675957,0.005955068158043326,-0.08150845873792198,-0.013675529590719791
C(market_id)[T.505270],-0.03515297046330783,0.00842483479352316,3.012210802930068e-05,-0.05166534323431317,-0.01864059769230249
C(market_id)[T.505387],0.0024234716766852026,0.007993764787762288,0.7617601190826161,-0.01324401940821335,0.018090962761583756
C(market_id)[T.505437],-0.0037928109667780046,0.0039085672473258394,0.3318551404362513,-0.011453462002689508,0.0038678400691334984
C(market_id)[T.505692],-0.00707715519157983,0.007561153230143755,0.3492789234434023,-0.021896743204250287,0.007742432821090625
C(market_id)[T.505791],-0.031383787984471986,0.014211693540638004,0.027222851971991507,-0.059238195483443,-0.003529380485500975
C(market_id)[T.505809],0.012814121128906229,0.00969866779025373,0.18642639484012158,-0.006194918438009752,0.03182316069582221
C(market_id)[T.505976],-0.03248186704394646,0.007399776244279912,1.1357281106771952e-05,-0.046985161976390154,-0.01797857211150277
C(market_id)[T.506121],-0.0024517310009573214,0.009331005992431604,0.7927425178628233,-0.020740166685650686,0.015836704683736047
C(market_id)[T.506202],0.07547775596040018,0.012288145562631513,8.132340713840801e-10,0.05139343322085674,0.09956207869994363
C(market_id)[T.506278],-0.035355548889887976,0.008619085984513651,4.095823210539526e-05,-0.052248646999188686,-0.018462450780587267
C(market_id)[T.506376],-0.012351436932123025,0.007997279962420507,0.12247820808819804,-0.028025817632751058,0.003322943768505008
C(market_id)[T.506488],0.006396670165399684,0.006431371867794826,0.3199287514963901,-0.0062085870666622744,0.019001927397461642
C(market_id)[T.506758],-0.008765109805369566,0.009945310823183935,0.37813874245351886,-0.028257560833866477,0.010727341223127344
C(market_id)[T.506807],0.002678349303047975,0.005267765005782848,0.6111438933540067,-0.007646280387306836,0.013002978993402787
C(market_id)[T.506815],-0.04340443593975157,0.01432061843761161,0.0024382184130626442,-0.07147233231381059,-0.015336539565692558
C(market_id)[T.506834],-0.04972391273114658,0.018846888423427376,0.00833206561195297,-0.08666313526170913,-0.012784690200584044
C(market_id)[T.506991],-0.015236136160799767,0.005944306275824502,0.010372785089449513,-0.026886762374491207,-0.0035855099471083264
C(market_id)[T.507051],-0.008622784014133994,0.008550175351711613,0.313218294185295,-0.025380819764990844,0.008135251736722856
C(market_id)[T.507115],-0.007948244019725723,0.002973498218950564,0.007516997425509585,-0.013776193436962824,-0.0021202946024886215
C(market_id)[T.507211],-0.052001445125554116,0.016319754684307207,0.0014404982213568475,-0.08398757654332509,-0.02001531370778315
C(market_id)[T.507234],-0.024727737761948778,0.004270659407508366,7.032563276315968e-09,-0.03309807639090234,-0.016357399132995214
C(market_id)[T.507235],-0.011264861207437735,0.010692587412562302,0.2921024537152308,-0.032221947437606174,0.009692225022730701
C(market_id)[T.507237],0.010913044554217483,0.009454570938323501,0.24839309172596324,-0.007617573974175644,0.029443663082610608
C(market_id)[T.507276],0.031104344232740805,0.01137358366217971,0.006242039498979296,0.0088125298797154,0.05339615858576621
C(market_id)[T.507280],-0.024254983456579678,0.00787568567918011,0.0020718850384260938,-0.03969104374133057,-0.008818923171828787
C(market_id)[T.507282],-0.029463834676191826,0.008004003285742836,0.00023219596122570473,-0.04515139284838804,-0.013776276503995613
C(market_id)[T.507417],-0.005446702392929772,0.007469707206892305,0.4658963705941639,-0.020087059493497973,0.00919365470763843
C(market_id)[T.507434],0.011230414771954194,0.01685424807028043,0.5052030888825654,-0.02180330443229915,0.04426413397620754
C(market_id)[T.507472],0.015767776349174818,0.00901386454478418,0.08024256660701985,-0.0018990735201247014,0.03343462621847434
C(market_id)[T.507473],-0.025536099471995408,0.0062094444135676035,3.91463209770937e-05,-0.03770638688659135,-0.013365812057399468
C(market_id)[T.507749],-0.013749127624629227,0.0009798013377831161,9.852029289464315e-45,-0.015669502958688297,-0.011828752290570154
C(market_id)[T.507792],0.029786303118520492,0.014690062747248836,0.04259600023178701,0.0009943092032792498,0.05857829703376173
C(market_id)[T.508204],0.013544447152342314,0.012779684265695862,0.28921644940514557,-0.011503273742214784,0.03859216804689941
C(market_id)[T.508499],-0.018548795856179443,0.005149509191446202,0.00031571613901271883,-0.028641648409471972,-0.008455943302886914
C(market_id)[T.508551],-0.017669934815671848,0.008877592731347438,0.04654720926260913,-0.0350696968385274,-0.00027017279281630127
C(market_id)[T.508560],-0.03266097381765225,0.017383588730073583,0.060266406578235565,-0.06673218165065284,0.0014102340153483509
C(market_id)[T.508671],0.006631114462762572,0.008617200798043581,0.4415842558776618,-0.010258288748952658,0.0235205176744778
C(market_id)[T.508851],-0.055267863042245235,0.01902532681514906,0.003672969742334736,-0.09255681839404153,-0.017978907690448943
C(market_id)[T.509222],-0.028477462188818713,0.0126950168064355,0.024883917828306675,-0.05335923791256299,-0.003595686465074438
C(market_id)[T.509224],-0.035695469821636655,0.010512857888002165,0.0006852573183113642,-0.05630029265670872,-0.015090646986564593
C(market_id)[T.509697],-0.01871927520984926,0.012438929432559857,0.13235122901123783,-0.04309912890390183,0.005660578484203312
C(market_id)[T.509855],0.022312952104837913,0.012332110955610659,0.07039857013917591,-0.001857541221510807,0.04648344543118663
C(market_id)[T.509872],-0.026442025927253716,0.015862108143313947,0.0955157631017602,-0.05753118660702856,0.004647134752521126
C(market_id)[T.510289],-0.03895647765536971,0.008635684300753989,6.449081976006864e-06,-0.05588210786670549,-0.022030847444033934
C(market_id)[T.510319],0.015850984404588028,0.005472484180724635,0.003773651523131278,0.005125112504402561,0.026576856304773494
C(market_id)[T.510340],0.6671864954089984,0.004299207431278073,0.0,0.6587602036816265,0.6756127871363704
C(market_id)[T.510524],-0.0156556909371372,0.011506743220457541,0.17365068063787914,-0.03820849322858441,0.006897111354310013
C(market_id)[T.510534],0.0047867298268258335,0.006157943823569228,0.4369664604557576,-0.007282618286190727,0.016856077939842395
C(market_id)[T.510693],-0.03125229440152792,0.01132663526114277,0.005794552862937999,-0.05345209157938918,-0.009052497223666661
C(market_id)[T.511042],-0.012823423876676447,0.004968986755551885,0.009860253734065929,-0.022562458957214676,-0.00308438879613822
C(market_id)[T.511044],-0.019058669042615783,0.004336937497966179,1.1102833279846658e-05,-0.027558910341830747,-0.010558427743400819
C(market_id)[T.511401],-0.04055699350755847,0.009823196145844062,3.648259105313138e-05,-0.059810104166485495,-0.02130388284863144
C(market_id)[T.511402],-0.029763408864942185,0.011430087805514117,0.009215545372639376,-0.052165969303880316,-0.007360848426004055
C(market_id)[T.511429],-0.02151639302509125,0.006473954255934687,0.0008888527902279761,-0.03420511020428304,-0.00882767584589946
C(market_id)[T.511754],0.04212250864462863,0.017061687236431013,0.0135553305283827,0.008682216145737123,0.07556280114352014
C(market_id)[T.511884],0.008984213078941716,0.012545919770783785,0.4739256701059723,-0.015605337824723512,0.03357376398260695
C(market_id)[T.511885],0.011505169861274096,0.011558309057291636,0.31954053773080815,-0.011148699613200613,0.034159039335748806
C(market_id)[T.511914],-0.03446959063036811,0.0076189410376539205,6.062521983937133e-06,-0.04940244066450403,-0.0195367405962322
C(market_id)[T.512024],-0.03495176365860429,0.01462890419899667,0.016883895731373708,-0.06362388902192453,-0.006279638295284051
C(market_id)[T.512128],-0.0029900035377379078,0.01068229271492428,0.7795520864063468,-0.023926912531304093,0.017946905455828277
C(market_id)[T.512161],0.005206212869162088,0.010784587632393787,0.6292763388930718,-0.015931190478445826,0.02634361621677
C(market_id)[T.512167],-0.0027457369708919557,0.017943705881256013,0.8783828945867552,-0.037914754247333295,0.03242328030554938
C(market_id)[T.512172],-0.010862705868165422,0.0056118240771370065,0.052906681872088704,-0.02186167894692868,0.00013626721059783672
C(market_id)[T.512173],-0.003187654725935601,0.007622152545793421,0.6757941308066666,-0.01812679920036099,0.011751489748489788
C(market_id)[T.512205],-0.003965766961701072,0.004324086054966875,0.35907235114894875,-0.012440819895488031,0.0045092859720858875
C(market_id)[T.512216],-0.029317670060341753,0.012664652020586397,0.020617250944975265,-0.05413993189742351,-0.00449540822325999
C(market_id)[T.512223],-0.026891478279608104,0.01151334858098662,0.01950801502093508,-0.04945722683979721,-0.0043257297194189935
C(market_id)[T.512250],0.0013280313015385384,0.006387969315062284,0.8353104129354305,-0.011192158490330534,0.013848221093407612
C(market_id)[T.512323],0.02013018328747743,0.010532952206676847,0.05598370113891628,-0.0005140236884908778,0.04077439026344574
C(market_id)[T.512324],0.024486576180683468,0.012632653144654333,0.05257983200708356,-0.00027296901202568044,0.04924612137339261
C(market_id)[T.512325],0.03654468746603608,0.01757322274095748,0.037565301085294746,0.002101803801459169,0.07098757113061299
C(market_id)[T.512348],-0.006188774911793757,0.0030315519396726517,0.041205686369972926,-0.012130507530814696,-0.0002470422927728167
C(market_id)[T.512850],-0.014434574691237052,0.004365163017049514,0.0009437953830813693,-0.0229901369913003,-0.005879012391173803
C(market_id)[T.512851],-0.0243565289758529,0.0062822102420343005,0.000105724706517786,-0.03666943479354878,-0.012043623158157015
C(market_id)[T.512954],-0.007476041151125707,0.0019882151373768293,0.00016979306874484234,-0.011372871213901648,-0.0035792110883497655
C(market_id)[T.512957],0.9838708696299135,0.004470197083388167,0.0,0.9751094443426768,0.9926322949171503
C(market_id)[T.513021],-0.00551857932507103,0.006214074009734694,0.37449906350820517,-0.01769794058141743,0.006660781931275372
